kodOrganizacie,nazovOrganizacie,kodNadurovne,kategoria,2015,2016,2017,2018,2019,2020,2021
504009,Sereď,800202,DLH,,677198.55,1139804.43,942410.31,745016.19,547622.07,350227.95
504017,Sládkovičovo,800202,DLH,1395868.93,,0.0,0.0,300000.0,348322.0,573322.0
504033,Šalgočka,800202,DLH,,19624.0,12700.0,52763.92,40090.0,34253.0,24713.0
504041,Šintava,800202,DLH,205145.43,0.0,0.0,99148.83,63816.63,63929.44,180953.0
504050,Šoporňa,800202,DLH,,,134761.66,100854.38,66606.46,124282.29,418569.09
504076,Tomášikovo,800202,DLH,310683.84,258826.19,111276.72,0.0,0.0,0.0,53000.0
504084,Topoľnica,800202,DLH,28004.33,17816.33,25963.14,44806.37,41179.99,35064.9,27154.46
504106,Trstice,800202,DLH,680351.0,0.0,543689.0,475358.0,510000.0,668912.0,643006.0
504114,Váhovce,800202,DLH,,,0.0,0.0,0.0,0.0,40269.0
504122,Veľká Mača,800202,DLH,,295871.01,635454.33,529578.04,422639.85,319840.85,231733.15
504131,Veľké Úľany,800202,DLH,177776.2,415683.68,368242.78,321926.04,275605.32,389849.92,645995.88
504149,Veľký Grob,800202,DLH,,,0.0,0.0,0.0,0.0,0.0
504157,Vinohrady nad Váhom,800202,DLH,,,0.0,1.9,0.0,0.06,0.4
504173,Vozokany,800202,DLH,41852.8,35852.8,29852.8,72435.33,60935.37,0.0,71570.65
504181,Zemianske Sady,800202,DLH,,,0.0,145755.71,159901.0,86029.16,73345.16
555754,Matúškovo,800202,DLH,323068.66,370163.21,305073.77,242047.3,224777.93,246076.82,228618.14
555789,Dolná Streda,800202,DLH,,,0.0,0.0,0.0,109830.0,85422.0
582638,Malá Mača,800202,DLH,,,0.0,0.0,27600.0,24769.2,21938.4
506800,Bojničky,800203,DLH,,,0.0,0.0,0.0,27472.0,27472.0
506885,Červeník,800203,DLH,127453.8,91038.36,54622.92,18207.48,700000.0,714885.0,0.0
506958,Dolné Otrokovce,800203,DLH,,,0.0,0.0,0.0,7652.0,7652.0
506966,Dolné Trhovište,800203,DLH,,,0.0,0.0,0.0,10998.0,10998.0
507024,Dvorníky,800203,DLH,,,0.0,68217.89,123753.06,91101.39,34850.0
507032,Hlohovec,800203,DLH,0.0,3.3,744225.74,2026580.59,2224981.77,2338596.1,1722481.4
507075,Horné Otrokovce,800203,DLH,118467.58,96843.58,74919.58,52995.58,122137.58,160969.58,121549.58
507130,Jalšové,800203,DLH,,,0.0,0.0,137399.53,8784.0,8784.0
507172,Kľačany,800203,DLH,3300.06,,0.0,0.0,0.0,0.0,0.0
507202,Koplotovce,800203,DLH,,,0.0,0.0,0.0,0.0,0.0
507253,Leopoldov,800203,DLH,203053.48,179562.36,156071.24,132580.12,112408.39,1003574.98,1674722.1
507288,Madunice,800203,DLH,241798.49,622656.7,565472.69,508178.74,757879.07,709871.07,621863.07
